Company,Table,Machine_1,Machine_2,Machine_3
SN-Maschinenbau GmbH,Aktiva,451853,315661,
Lahnwerk GmbH,Aktiva,1925223,1953568,
Fibro Laepple Technology GmbH,Aktiva,81207,101702,
Makita Engineering Germany GmbH,Aktiva,1719701,1676124,
Wohlhaupter GmbH,Aktiva,1707261,1069664,
m-tec mathis technik gmbh,Aktiva,20768,31391,
A. MANNESMANN MASCHINENFABRIK GmbH,Aktiva,1105856,130099,
exeron GmbH,AKTIVA,97795,178,
Deutsche Nickel GmbH,AKTIVA,3763649,4158819,
Herding GmbH Filtertechnik,Aktiva,221887,196042,
Hohner Maschinenbau GmbH,Aktiva,1320462,1166306,
Waelischmiller Engineering GmbH,Zum Stichtag existierte folgendes Terminsicherungsgeschäft:,758541,389452,
mimatic GmbH,AKTIVA,3185089,3780501,
RSB Rationelle,Davon entfielen auf:,165,,
Guedel Germany GmbH,AKTIVA,115013,595,
Maschinenfabrik Herbert Meyer GmbH,Aktiva,594205,878868,
Pouch Partners GmbH,Aktiva,1787,2809,
Schmoll Maschinen GmbH,Aktiva,3137831,3284502,
BRUGG German Pipe GmbH,Unknown Table,2501540,2722474,
DMT Demminer Maschinenbau Technik GmbH,"Die Bilanzierung der Sachanlagen erfolgt zu Anschaffungskosten, im Falle abnutzbarer
            Sac",5,,
Wilhelm Vogel GmbH Antriebstechnik,Aktiva,554555,667553,
Klaus Backes GmbH,Aktiva,294882,,
Kuenkel Wagner Germany GmbH,Aktiva,240048,253288,
Tipper Tie technopack GmbH,Aktiva,1128395,428137,
Leonhard Breitenbach GmbH,Aktivseite,679129,553392,
WOLL MASCHINENBAU GmbH,AKTIVA,1701112,1968683,
Gerhard Schubert GmbH,AKTIVA,3637211,3149,
Pulsotronic-Anlagentechnik GmbH,AKTIVA,172076,,
Wink Stanzwerkzeuge GmbH & Co. KG,Aktiva,7409330,4172909,
S. Mueller GmbH & Co. Werkzeugbau KG.,Aktiva,273592,297435,
RAMPP Maschinenbau GmbH & Co. KG,AKTIVA,547424,659389,
Paul Hafner GmbH Werkzeugbau,Aktiva,38200,38200,
Bayerische Mass-Industrie,Aktiva,780448,931251,
falch gmbh,"die positive umsatzentwicklung in verbindung mit gestiegenen kosten mündet in einem
            um 1",4299754,4640365,
Josef Blaessinger GmbH + Co KG,Aktiva,201917,197384,
Hartmetall-Werkzeugfabrik Paul Horn GmbH,Unknown Table,18636469,22751,
Karl-Heinz Arnold GmbH,Aktivseite,2960141,1797797,
IDEAL - Werk C. + E. Jungeblodt,Aktiva,1041664,574055,
Lanico-Maschinenbau,Aktiva,583298,655052,
Emil Prinzing & Soehne GmbH & Co. KG,gez. Hans Prinzing,9891411,6812,9898223
Seco Tools GmbH,Aktiva,236876,512113,
ESAB Welding & Cutting GmbH,Aktiva,110603,160,
KS Tools Werkzeuge und Maschinen GmbH,Aktiva,361494,524197,
ASTOR Schneidwerkzeuge GmbH,Aktiva,1162959,969101,
Heckler Aktiengesellschaft,AKTIVA,3881699,5080464,
FKT Formenbau und Kunststofftechnik GmbH,A K T I V A,1303880,1138741,
HEDELIUS Maschinenfabrik GmbH,Aktiva,5557240,5517341,
FMF-WWF Werkzeug- und Prototypenbau GmbH,Aktiva,1563110,1807594,
F. Zimmermann GmbH,AKTIVA,502542,541,
Stuertz Maschinenbau GmbH,Aktiva,27138,46461,
SAT Anlagentechnik GmbH,Aktiva,340223,408,
SUCO Robert Scheuffele GmbH & Co. KG,Aktiva,3163484,2909,
RSA cutting systems GmbH,Aktiva,126154,139517,
StrikoWestofen GmbH,Aktiva,19790,26994,
Herzog Maschinenfabrik GmbH & Co. KG,AKTIVSEITE,1156,,
ABI Maschinenfabrik und,Aktiva,342582,563152,
Heinz Gothe GmbH & Co. KG,AKTIVA,378677,433,
Scheugenpflug GmbH,Aktiva,2060789,2256750,
Leifeld Metal Spinning GmbH,Aktiva,827421,1014136,
Teepack Spezialmaschinen GmbH & Co. KG,AKTIVA,183080,225922,
Betafence GmbH,AKTIVA,172636,216641,
Webomatic Maschinenfabrik GmbH,Aktiva,341151,398254,
