company name,location
Ortrander Eisenhütte GmbH,Ortrand
VCST Reichenbach GmbH,Reichenbach im Vogtland OT Mylau
CGR B-E GmbH,Mettmann
International Automotive Components,Düsseldorf
HMT Heldener Metalltechnik GmbH & Co. KG,Attendorn
Kienzle Automotive GmbH,Düsseldorf
Buderus Guss GmbH,Breidenbach
Winning BLW GmbH,Remscheid
NPR of Europe GmbH,Korntal-Münchingen
Dichtungstechnik Wallstabe & Schneider,Niederwinkling
Waldaschaff Automotive GmbH,Waldaschaff
Fuyao Europe GmbH,Leingarten
DELVIS GmbH,Reutlingen
I.G. Bauerhin GmbH,Gründau
Isidro Con Garcia,Velbert
Erich Jaeger GmbH + Co. KG,Friedberg (Hessen)
Kienzle Argo GmbH,Leipzig
Thomatex Auto-Teppich GmbH,Burgheim
Welte-Wenu GmbH,Neu-Ulm
Karosseriewerke Dresden GmbH,Radeberg
Veoneer Germany GmbH,Unterschleißheim
Meleghy Automotive GmbH & Co. KG,Wilnsdorf
voestalpine Automotive Components,Böhmenkirch
voestalpine Automotive Components,Birkenfeld
voestalpine Automotive Components,Schmölln
Kunststofftechnik Wiesmayer GmbH,Neustadt a.d.Donau
FLABEG Automotive Group GmbH,Nürnberg
RADO Gummi GmbH,Radevormwald
Jifeng Automotive Interior GmbH,Kitzingen
Klingel GmbH,Waiblingen
Nanogate SE,Quierschied
WEBER HOLDING GmbH,Markdorf
KW automotive GmbH,Fichtenberg
Rausch & Pausch SE,Selb
Komax Testing Germany GmbH,Porta Westfalica
Wölfle GmbH,Ochsenhausen
GTD Getriebetechnik Dessau GmbH,Dessau-Roßlau
Siebenhaar Antriebstechnik GmbH,Hofgeismar
Global Safety Textiles GmbH,Maulburg
Visteon Holdings GmbH,Karlsruhe
bowe Kunststoff-Solutions GmbH,Diedorf
Martin Stanz- und Umformtechnik GmbH,Parsberg
Zettl Automotive GmbH,Weng
HELBAKO GmbH,Heiligenhaus
MD Elektronik GmbH,Waldkraiburg
PETEX Autoausstattungs-GmbH,Eggenfelden
Chemex Foundry Solutions GmbH,Delligsen
Geiger GmbH,Pretzfeld
Heytex Bramsche GmbH,Bramsche
paragon GmbH & Co. KGaA,Delbrück
Thule GmbH,Neumarkt i.d.OPf.
KAMEI GmbH & Co. KG,Wolfsburg
Valeo Thermal Commercial Vehicles,Gilching
Paul Kauth GmbH & Co. KG,Denkingen
Geiger Automotive GmbH,Murnau am Staffelsee
Schreiner Group GmbH & Co. KG,Oberschleißheim
Minda Schenk Plastic Solutions GmbH,Köngen
AIGO-TEC GmbH,Giengen an der Brenz
Docter Optics SE,Neustadt an der Orla
Köhler Automobiltechnik GmbH,Lippstadt
FELSOMAT GmbH & Co. KG,Königsbach-Stein
Härterei und Qualitätsmanagement GmbH,Leipzig
Wethje Carbon Composites GmbH,Hengersberg
RSG Elotech,Bad Lobenstein
F. Hesterberg & Söhne GmbH & Co. KG,Ennepetal
Stelter Zahnradfabrik GmbH,Bassum
COEXAL GmbH,Georgenthal OT Schönau vor dem Walde
Böckmann Fahrzeugwerke GmbH,Lastrup
GEBRA GmbH & Co.,Hennef (Sieg)
SOGEFI HD SUSPENSIONS Germany GmbH,Hagen
Proseat GmbH & Co. KG,Mörfelden-Walldorf
Franken Guss GmbH & Co. KG,Kitzingen
SchmitterGroup GmbH,Thüngen
Hitachi Astemo Aftermarket Germany GmbH,Espelkamp
Jäger Gummi und Kunststoff GmbH,Hannover
ETO MAGNETIC GmbH,Stockach
Bergmann Automotive GmbH,Barsinghausen
Maschinenfabrik Guido GmbH,Neutraubling
WEGU Holding GmbH,Kassel
BJ Automotive GmbH,Hamm
Valeo GmbH,Friedrichsdorf
MSSC AHLE GmbH,Lindlar
HAL Aluminiumguss Leipzig GmbH,Leipzig
KLT Hummel Plastic GmbH,Schweinfurt
Akkumulatorenfabrik Moll,Bad Staffelstein
Autoneum Germany GmbH,Roßdorf
Eisenwerk Hasenclever & Sohn GmbH,Battenberg (Eder)
ALCAR DEUTSCHLAND GMBH,Siegburg
IndiKar Individual Karosseriebau GmbH,Wilkau-Haßlau
Metob Beschichtungen GmbH,Michelau
GTG Gummitechnik,Gundelfingen a.d.Donau
SKF Lubrication Systems Germany GmbH,Walldorf
Gersfelder Metallwaren GmbH,Gersfeld (Rhön)
Jokon GmbH,Bonn
Philippine GmbH & Co.,Lahnstein
Erich Utsch AG,Siegen
Baumgarten GmbH,Daaden
MAT Foundries Europe GmbH,Ueckermünde
BFG Feinguss GmbH,Moers
Ibeo Automotive Systems GmbH,Hamburg
C+M Utescheny Spritzgießtechnik GmbH,Zaisenhausen
Sika Automotive Frankfurt-Worms GmbH,Worms
Kjellberg-Holding GmbH,Finsterwalde
Walter Automobiltechnik GmbH,Berlin
PIAD GmbH,Solingen
Culimeta Automotive Darmstadt GmbH,Darmstadt
WELCO GmbH & Co. KG,Bruck in der Oberpfalz
Batal Präzisionswellen GmbH,Lauf an der Pegnitz
Neuman Aluminium Fließpresswerk GmbH,Rottenburg am Neckar
Automotive Interior World,Neuensalz
MFT Motoren und Fahrzeugtechnik GmbH,Cunewalde
MT Technologies GmbH,Ingolstadt
STEMA Metalleichtbau GmbH,Großenhain
AGA Zerspanungstechnik Gera GmbH,Gera
Kümmel Fahrzeugteile GmbH & Co. KG,Schlotheim
Musashi Hann. Muenden Machining GmbH & Co. KG,Hann. Münden
ModellTechnik Rapid Prototyping GmbH,Waltershausen
MöllerTech Thüringen GmbH,Ohrdruf
Sedlmayer GmbH,Triptis
Richard Fritz Holding GmbH,Besigheim
Atlas Copco IAS GmbH,Bretten
BING Power Systems GmbH,Nürnberg
DMB Metallverarbeitung GmbH,Grünhain-Beierfeld
Hirotec Bucher GmbH,Eislingen/Fils
Ernst-Apparatebau GmbH,Hagen
FEMEG Feinmechanik + Gerätebau,Kirchheimbolanden
Kauth Finnentrop GmbH & Co KG,Finnentrop
Steinkamp Maschinenbau,Espelkamp
Langen CNC Metalltechnik GmbH & Co. KG,Hilkenbrook
